ModelID,alltime_up_acc_0.0,alltime_up_num_0.0,alltime_up_den_0.0,alltime_up_pnl_0.0,alltime_up_acc_0.1,alltime_up_num_0.1,alltime_up_den_0.1,alltime_up_pnl_0.1,alltime_up_acc_0.2,alltime_up_num_0.2,alltime_up_den_0.2,alltime_up_pnl_0.2,alltime_up_acc_0.3,alltime_up_num_0.3,alltime_up_den_0.3,alltime_up_pnl_0.3,alltime_up_acc_0.4,alltime_up_num_0.4,alltime_up_den_0.4,alltime_up_pnl_0.4,alltime_up_acc_0.5,alltime_up_num_0.5,alltime_up_den_0.5,alltime_up_pnl_0.5,alltime_up_acc_0.6,alltime_up_num_0.6,alltime_up_den_0.6,alltime_up_pnl_0.6,alltime_up_acc_0.7,alltime_up_num_0.7,alltime_up_den_0.7,alltime_up_pnl_0.7,alltime_up_acc_0.8,alltime_up_num_0.8,alltime_up_den_0.8,alltime_up_pnl_0.8,alltime_down_acc_0.0,alltime_down_num_0.0,alltime_down_den_0.0,alltime_down_pnl_0.0,alltime_down_acc_0.1,alltime_down_num_0.1,alltime_down_den_0.1,alltime_down_pnl_0.1,alltime_down_acc_0.2,alltime_down_num_0.2,alltime_down_den_0.2,alltime_down_pnl_0.2,alltime_down_acc_0.3,alltime_down_num_0.3,alltime_down_den_0.3,alltime_down_pnl_0.3,alltime_down_acc_0.4,alltime_down_num_0.4,alltime_down_den_0.4,alltime_down_pnl_0.4,alltime_down_acc_0.5,alltime_down_num_0.5,alltime_down_den_0.5,alltime_down_pnl_0.5,alltime_down_acc_0.6,alltime_down_num_0.6,alltime_down_den_0.6,alltime_down_pnl_0.6,alltime_down_acc_0.7,alltime_down_num_0.7,alltime_down_den_0.7,alltime_down_pnl_0.7,alltime_down_acc_0.8,alltime_down_num_0.8,alltime_down_den_0.8,alltime_down_pnl_0.8
00091,0.5218962475808799,30473.0,58389.0,194.355,0.5206028609608097,23765.0,45649.0,232.76499999999996,0.520083021515435,17791.0,34208.0,232.82,0.5205225385049593,12910.0,24802.0,220.63500000000005,0.5166823438278094,9338.0,18073.0,156.66499999999996,0.5157190635451505,6939.0,13455.0,179.22,0.5125378085666894,5253.0,10249.0,134.49999999999994,0.5068974166039629,4042.0,7974.0,61.96000000000002,0.5068922305764411,3236.0,6384.0,58.15999999999999,0.481561675350159,28468.0,59116.0,-306.32499999999993,0.4815212489531213,22423.0,46567.0,-211.52,0.4795049616599007,17009.0,35472.0,-214.52,0.4777731458672831,12607.0,26387.0,-226.40500000000003,0.4775988889460418,9285.0,19441.0,-200.18,0.4826476350405821,6898.0,14292.0,-65.76499999999999,0.4862230552952202,5188.0,10670.0,-35.28000000000003,0.4882716049382716,3955.0,8100.0,-5.110000000000028,0.494896331738437,3103.0,6270.0,24.955
00092,0.5232334197072624,29885.0,57116.0,333.285,0.5234331140104647,23309.0,44531.0,227.51,0.5224986607940003,17557.0,33602.0,143.845,0.5190094033722439,12805.0,24672.0,53.10500000000002,0.5154473348494093,9293.0,18029.0,75.52999999999994,0.5134971644612476,6791.0,13225.0,86.97000000000003,0.5139475038600103,4993.0,9715.0,69.71000000000002,0.515986769570011,3744.0,7256.0,126.855,0.5124561727255952,2777.0,5419.0,112.89500000000002,0.4829521932802331,29165.0,60389.0,-160.15000000000003,0.4830825874436615,22830.0,47259.0,-69.94000000000004,0.4856209899175068,16954.0,34912.0,40.05499999999998,0.4863790913932244,11873.0,24411.0,70.1649999999999,0.4863368243649933,8080.0,16614.0,55.54499999999997,0.4886042402826855,5531.0,11320.0,65.72999999999996,0.4864452080946926,3822.0,7857.0,49.90499999999997,0.487866259212655,2714.0,5563.0,29.625,0.4944594927357794,2008.0,4061.0,70.41499999999999
00093,0.5252759827679052,31214.0,59424.0,390.54,0.5236774931784174,23798.0,45444.0,285.13499999999993,0.5220701068151046,17351.0,33235.0,178.395,0.5193700522149234,12334.0,23748.0,156.27999999999986,0.5159885455196277,8649.0,16762.0,125.87499999999989,0.5191126279863482,6084.0,11720.0,198.5299999999999,0.5199807992319693,4333.0,8333.0,180.33,0.518836192398251,3085.0,5946.0,126.38,0.5217698281948694,2217.0,4249.0,132.39,0.4851705132621426,28169.0,58060.0,-85.14000000000004,0.4869500034073098,21437.0,44023.0,-31.98500000000007,0.4903903998986796,15488.0,31583.0,45.31999999999999,0.490000457644959,10707.0,21851.0,26.71000000000004,0.4925854730193602,7175.0,14566.0,55.98499999999999,0.4912082262210797,4777.0,9725.0,98.47500000000002,0.4893814912416679,3157.0,6451.0,85.91000000000003,0.4807417974322396,2022.0,4206.0,31.065,0.4877958579881656,1319.0,2704.0,46.18000000000002
00094,0.5253298683620277,33961.0,64647.0,274.8799999999999,0.5231307729703452,26902.0,51425.0,159.08000000000004,0.5195446681543515,20721.0,39883.0,38.684999999999945,0.5187456721733109,15732.0,30327.0,38.11499999999992,0.5169240299101809,11683.0,22601.0,26.74000000000004,0.5124623053726384,8327.0,16249.0,-68.11500000000002,0.5091787439613527,5797.0,11385.0,-66.38,0.5060839984299359,3868.0,7643.0,-7.695000000000029,0.5055373256767842,2465.0,4876.0,88.26999999999998,0.4862123133410299,25690.0,52837.0,-185.055,0.4861023928490722,19360.0,39827.0,-141.95,0.4824622694242593,13810.0,28624.0,-139.38000000000005,0.4824492210609347,9786.0,20284.0,-72.765,0.4783528416302355,6784.0,14182.0,-92.21,0.4748552270649192,4674.0,9843.0,-76.89999999999998,0.473289183222958,3216.0,6795.0,-59.085000000000015,0.474645466265578,2209.0,4654.0,-21.35500000000002,0.4773727215587681,1519.0,3182.0,-7.149999999999999
00095,0.5245311554748942,34682.0,66120.0,412.19,0.5252662631215999,27421.0,52204.0,384.955,0.5263528288134315,20942.0,39787.0,345.8699999999999,0.5258456923846025,15778.0,30005.0,254.86,0.5232109185597558,11654.0,22274.0,152.075,0.5191976372138813,8438.0,16252.0,91.18999999999996,0.5166481212017461,6036.0,11683.0,11.020000000000024,0.5190240367194106,4297.0,8279.0,-6.315000000000048,0.5238012205754141,3004.0,5735.0,47.59000000000001,0.48678062456195,25003.0,51364.0,-6.219999999999935,0.4878035747682278,18258.0,37429.0,23.555000000000007,0.4875067271469209,12682.0,26014.0,21.70499999999997,0.4849157054125998,8744.0,18032.0,-28.22999999999997,0.4843208383716243,6008.0,12405.0,-42.125000000000014,0.4818802825054996,4162.0,8637.0,-38.86000000000001,0.4790805358028774,2897.0,6047.0,-32.889999999999986,0.4766826923076923,1983.0,4160.0,-13.04999999999998,0.479136690647482,1332.0,2780.0,12.639999999999995
00096,0.5286743767996055,33233.0,62861.0,618.43,0.5285763698142384,25979.0,49149.0,464.1050000000001,0.5284459513575567,19794.0,37457.0,322.80999999999995,0.5235581412052001,14579.0,27846.0,165.30500000000015,0.5198099809001421,10614.0,20419.0,31.17500000000008,0.514768792014667,7581.0,14727.0,-99.05999999999996,0.5101556567957479,5375.0,10536.0,-244.65,0.5027978708884946,3684.0,7327.0,-253.39,0.4960983222785798,2543.0,5126.0,-222.6,0.4917762253149238,26820.0,54537.0,208.65499999999992,0.4932026557066076,20280.0,41119.0,214.10499999999996,0.495497311827957,14746.0,29760.0,263.2899999999999,0.4984584736517573,10509.0,21083.0,308.835,0.4989333333333333,7484.0,15000.0,297.94499999999994,0.501152179924417,5437.0,10849.0,277.27,0.5032154340836013,4069.0,8086.0,212.175,0.5048987589810582,3092.0,6124.0,156.15,0.5047250859106529,2350.0,4656.0,121.535
00097,0.5302010240849612,33549.0,63276.0,658.5449999999998,0.5300499671530667,26626.0,50233.0,639.4049999999999,0.5279129085697757,20076.0,38029.0,498.9050000000001,0.5279419571757211,14917.0,28255.0,441.015,0.5280446385249878,10883.0,20610.0,412.44999999999993,0.5308095046314941,7908.0,14898.0,385.605,0.529240862230553,5647.0,10670.0,288.98,0.5262606417812704,4018.0,7635.0,245.98,0.5314097881665449,2910.0,5476.0,246.47,0.492147370754961,26636.0,54122.0,236.755,0.4941686104631789,20762.0,42014.0,241.34999999999997,0.4958266402091404,15742.0,31749.0,299.12999999999994,0.4962234693446981,11760.0,23699.0,294.42499999999995,0.4957212372056602,8863.0,17879.0,307.81,0.4971349822296366,6854.0,13787.0,319.32500000000005,0.5021680966878863,5443.0,10839.0,384.08,0.5025984524771914,4352.0,8659.0,317.68,0.5028183263477382,3479.0,6919.0,251.01500000000004
00098,0.5266950486192787,31795.0,60367.0,65.57000000000005,0.5253570821288897,24717.0,47048.0,-12.055000000000078,0.5216216984618883,18347.0,35173.0,-99.02499999999996,0.5192593171341511,13292.0,25598.0,-100.67500000000004,0.5137850084620844,9411.0,18317.0,-136.235,0.5048628133154107,6385.0,12647.0,-162.49,0.5022535536808044,4346.0,8653.0,-129.68499999999997,0.5005048805116122,2974.0,5942.0,-90.57999999999998,0.4950158035497204,2036.0,4113.0,-108.9,0.4875431132587496,27847.0,57117.0,-376.6549999999999,0.4888447851081303,21429.0,43836.0,-343.83,0.4871771075019335,15748.0,32325.0,-321.00500000000005,0.4871522616266723,11470.0,23545.0,-225.31500000000003,0.4893078055964654,8306.0,16975.0,-118.45000000000005,0.4925672961028525,6130.0,12445.0,-39.40500000000002,0.491811994895789,4625.0,9404.0,-49.87500000000001,0.4878825647417255,3523.0,7221.0,-58.37000000000001,0.4877161055505004,2680.0,5495.0,-45.920000000000016
00099,0.5244894270739201,31922.0,60863.0,131.8199999999999,0.524573656697232,24485.0,46676.0,194.94,0.5230930110962645,18008.0,34426.0,239.91,0.5231318152661962,13049.0,24944.0,232.1,0.5213458356315499,9452.0,18130.0,173.37499999999997,0.523962148962149,6866.0,13104.0,199.3,0.5226179018286814,4887.0,9351.0,162.985,0.5202329401224429,3484.0,6697.0,112.46000000000004,0.5212363330529857,2479.0,4756.0,130.67000000000002,0.4856325391639144,27497.0,56621.0,-306.94999999999993,0.4846534191622353,20780.0,42876.0,-254.965,0.4821560502393113,15010.0,31131.0,-262.01500000000004,0.4773032500671501,10662.0,22338.0,-218.61,0.4723658794940494,7581.0,16049.0,-226.88,0.4696171408500175,5348.0,11388.0,-153.31,0.4720098643649815,3828.0,8110.0,-40.88,0.4796348314606741,2732.0,5696.0,52.839999999999975,0.4772783709957785,1922.0,4027.0,49.95
00100,0.5270095462658217,32185.0,61071.0,522.2950000000002,0.5293676580854786,25416.0,48012.0,530.5049999999999,0.5290649622568736,19204.0,36298.0,474.5050000000001,0.5310621981344247,14404.0,27123.0,461.395,0.528968253968254,10664.0,20160.0,315.04,0.5234390854359737,7738.0,14783.0,197.725,0.5229170532566338,5636.0,10778.0,146.05,0.5201811125485123,4021.0,7730.0,116.12499999999996,0.5131386861313869,2812.0,5480.0,63.155,0.4883448850442274,27549.0,56413.0,114.12499999999994,0.4888611331895083,21527.0,44035.0,141.16500000000008,0.4876400497954828,16452.0,33738.0,97.135,0.4881850369458128,12685.0,25984.0,142.72499999999994,0.4895843617336361,9918.0,20258.0,138.265,0.4903724347605777,7742.0,15788.0,143.54000000000002,0.4909343351845802,6011.0,12244.0,153.015,0.4863763140956876,4534.0,9322.0,86.14999999999996,0.4913519746324589,3409.0,6938.0,106.91499999999998
00101,0.5252637237116173,31270.0,59532.0,504.52,0.526151253796865,23731.0,45103.0,419.845,0.5287498454309385,17104.0,32348.0,470.325,0.5284730913642053,11823.0,22372.0,496.43,0.5257918552036199,8134.0,15470.0,421.4,0.5274775599926727,5759.0,10918.0,407.275,0.5303049474882956,4191.0,7903.0,376.8,0.5289690180290565,3022.0,5713.0,341.02500000000003,0.5225375626043406,2191.0,4193.0,290.65500000000003,0.4864715626725566,28192.0,57952.0,69.79499999999999,0.4854694318232939,21583.0,44458.0,123.44499999999988,0.4887696342970846,16212.0,33169.0,263.86,0.4901721401538274,12045.0,24573.0,252.26,0.4951317454205401,9001.0,18179.0,293.105,0.4942872078261519,6619.0,13391.0,208.425,0.4939073923639318,4864.0,9848.0,190.085,0.4945873752284549,3518.0,7113.0,189.1,0.4954954954954955,2530.0,5106.0,173.29500000000002
