model_id,train_from,train_to,val_from,val_to,test_from,test_to,seq_length,label_number,learning_rate,epochs,batch_size,train_loss,train_mae,val_loss,val_mae,train_up_acc_thr_0.0,train_down_acc_thr_0.0,train_up_acc_thr_0.1,train_down_acc_thr_0.1,train_up_acc_thr_0.2,train_down_acc_thr_0.2,train_up_acc_thr_0.3,train_down_acc_thr_0.3,train_up_acc_thr_0.4,train_down_acc_thr_0.4,train_up_acc_thr_0.5,train_down_acc_thr_0.5,train_up_acc_thr_0.6,train_down_acc_thr_0.6,train_up_acc_thr_0.7,train_down_acc_thr_0.7,train_up_acc_thr_0.8,train_down_acc_thr_0.8,val_up_acc_thr_0.0,val_down_acc_thr_0.0,val_up_acc_thr_0.1,val_down_acc_thr_0.1,val_up_acc_thr_0.2,val_down_acc_thr_0.2,val_up_acc_thr_0.3,val_down_acc_thr_0.3,val_up_acc_thr_0.4,val_down_acc_thr_0.4,val_up_acc_thr_0.5,val_down_acc_thr_0.5,val_up_acc_thr_0.6,val_down_acc_thr_0.6,val_up_acc_thr_0.7,val_down_acc_thr_0.7,val_up_acc_thr_0.8,val_down_acc_thr_0.8,test_up_acc_thr_0.0,test_down_acc_thr_0.0,test_up_acc_thr_0.1,test_down_acc_thr_0.1,test_up_acc_thr_0.2,test_down_acc_thr_0.2,test_up_acc_thr_0.3,test_down_acc_thr_0.3,test_up_acc_thr_0.4,test_down_acc_thr_0.4,test_up_acc_thr_0.5,test_down_acc_thr_0.5,test_up_acc_thr_0.6,test_down_acc_thr_0.6,test_up_acc_thr_0.7,test_down_acc_thr_0.7,test_up_acc_thr_0.8,test_down_acc_thr_0.8
00158,20210912,20211106,20211107,20211113,20211114,20211120,30,10,0.0009,150,32,0.003849190892651677,0.04685217887163162,0.16497215628623962,0.32579004764556885,0.9484057971014492,0.9640071985602879,0.9985074626865672,0.9969558599695586,0.9990079365079365,0.9989451476793249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46842105263157896,0.5583333333333333,0.5267857142857143,0.5853658536585366,0.625,0.6509433962264151,0.6578947368421053,0.6229508196721312,0.6363636363636364,0.7105263157894737,0.6363636363636364,0.7307692307692307,0.625,0.6875,0.75,0.4444444444444444,1.0,0.25,0.6428571428571429,0.4322916666666667,0.6481481481481481,0.4215686274509804,0.7435897435897436,0.4117647058823529,0.8148148148148148,0.36363636363636365,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00159,20210919,20211113,20211114,20211120,20211121,20211127,30,10,0.0009,150,32,0.0035125024151057005,0.0453057698905468,0.18471404910087585,0.33003029227256775,0.9584795321637427,0.9579439252336449,0.9984802431610942,0.9961977186311787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5991189427312775,0.3793103448275862,0.58,0.39416058394160586,0.5862068965517241,0.44047619047619047,0.55,0.45454545454545453,0.6666666666666666,0.5277777777777778,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.0,0.6153846153846154,0.0,0.5,0.3681592039800995,0.5244755244755245,0.4121212121212121,0.5267857142857143,0.43902439024390244,0.4895833333333333,0.42696629213483145,0.4675324675324675,0.48148148148148145,0.4375,0.4318181818181818,0.42857142857142855,0.38461538461538464,0.4375,0.26666666666666666,0.42105263157894735,0.125,0.4230769230769231
00160,20210926,20211120,20211121,20211127,20211128,20211204,30,10,0.0009,150,32,0.003814749652519822,0.04680492728948593,0.40936824679374695,0.48184624314308167,0.9414862492685782,0.9592209373097992,0.9969159599074788,0.9983948635634029,1.0,0.9988235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5301204819277109,0.6966292134831461,0.5901639344262295,0.7391304347826086,0.5952380952380952,0.7128712871287128,0.58,0.6571428571428571,0.5294117647058824,0.6415094339622641,0.4666666666666667,0.5952380952380952,0.4782608695652174,0.5428571428571428,0.46153846153846156,0.3333333333333333,0.6,0.18181818181818182,0.47019867549668876,0.4157706093189964,0.4424778761061947,0.4117647058823529,0.38095238095238093,0.4153846153846154,0.359375,0.42138364779874216,0.32608695652173914,0.4015748031496063,0.3333333333333333,0.3979591836734694,0.2903225806451613,0.4,0.15789473684210525,0.36538461538461536,0.2,0.3
00161,20211003,20211127,20211128,20211204,20211205,20211211,30,10,0.0009,150,32,0.003112874925136566,0.042741239070892334,1.5236238241195679,0.9513393044471741,0.9327433628318584,0.9717041800643087,0.999219968798752,0.9991489361702127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4293193717277487,0.36401673640167365,0.39263803680981596,0.3627906976744186,0.3795620437956204,0.35911602209944754,0.3333333333333333,0.31690140845070425,0.2839506172839506,0.2689075630252101,0.2727272727272727,0.2524271844660194,0.2,0.25609756097560976,0.16216216216216217,0.2222222222222222,0.20689655172413793,0.24528301886792453,0.5880149812734082,0.5828220858895705,0.6226415094339622,0.6287878787878788,0.5977653631284916,0.6666666666666666,0.5609756097560976,0.7241379310344828,0.5454545454545454,0.75,0.5606060606060606,0.7307692307692307,0.5294117647058824,0.7333333333333333,0.5,0.625,0.5909090909090909,0.5714285714285714
00162,20211010,20211204,20211205,20211211,20211212,20211218,30,10,0.0009,150,32,0.005197133868932724,0.05525533854961395,0.29776063561439514,0.4058710038661957,0.9341061622940817,0.9557975656630365,0.9952681388012619,0.9982713915298185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5971563981042654,0.547945205479452,0.6265060240963856,0.546583850931677,0.6335877862595419,0.5573770491803278,0.6346153846153846,0.5111111111111111,0.6388888888888888,0.4603174603174603,0.6875,0.5111111111111111,0.7333333333333333,0.64,0.7777777777777778,0.6470588235294118,0.875,0.8571428571428571,0.45933014354066987,0.6334841628959276,0.45604395604395603,0.6428571428571429,0.45454545454545453,0.6363636363636364,0.4596774193548387,0.65,0.46464646464646464,0.6666666666666666,0.48,0.640625,0.5714285714285714,0.5434782608695652,0.6153846153846154,0.48484848484848486,0.7083333333333334,0.43478260869565216
00163,20211017,20211211,20211212,20211218,20211219,20211225,30,10,0.0009,150,32,0.004570581018924713,0.05192086473107338,0.7910385727882385,0.664090633392334,0.9426987060998152,0.9516027655562539,0.99597747385358,0.9975062344139651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3828125,0.5459770114942529,0.4174757281553398,0.4782608695652174,0.4057142857142857,0.48214285714285715,0.4632352941176471,0.44047619047619047,0.5,0.45,0.4861111111111111,0.5135135135135135,0.5555555555555556,0.4782608695652174,0.5714285714285714,0.2857142857142857,0.5882352941176471,0.2,0.643312101910828,0.39037433155080214,0.6722689075630253,0.38461538461538464,0.7,0.36538461538461536,0.6774193548387096,0.41025641025641024,0.5909090909090909,0.29411764705882354,0.6296296296296297,0.13333333333333333,0.6923076923076923,0.17391304347826086,0.42857142857142855,0.1875,0.5,0.07692307692307693
00164,20211024,20211218,20211219,20211225,20211226,20220101,30,10,0.0009,150,32,0.0044872029684484005,0.05161894112825394,0.5803623795509338,0.5730918049812317,0.9483483483483484,0.9560171044593769,0.9984484096198604,0.9984484096198604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5785714285714286,0.3431372549019608,0.584070796460177,0.3615819209039548,0.575,0.3591549295774648,0.5849056603773585,0.3389830508474576,0.5555555555555556,0.3655913978494624,0.53125,0.36486486486486486,0.5,0.35185185185185186,0.3333333333333333,0.325,0.25,0.35714285714285715,0.5158730158730159,0.4943820224719101,0.5025906735751295,0.5126050420168067,0.5284552845528455,0.4307692307692308,0.4794520547945205,0.47058823529411764,0.6285714285714286,0.5,0.6875,0.5384615384615384,0.7142857142857143,0.5,0.3333333333333333,0.375,1.0,0.16666666666666666
00165,20211031,20211225,20211226,20220101,20220102,20220108,30,10,0.0009,150,32,0.00459947669878602,0.05240853503346443,0.13753047585487366,0.28403353691101074,0.9539141414141414,0.9432799013563502,0.9958881578947368,0.9969207082371054,1.0,0.998991935483871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5059288537549407,0.480225988700565,0.4911242603550296,0.46601941747572817,0.504424778761062,0.5352112676056338,0.5303030303030303,0.5660377358490566,0.6486486486486487,0.5526315789473685,0.5652173913043478,0.5217391304347826,0.6,0.4666666666666667,0.5,0.5,1.0,0.75,0.5271739130434783,0.540650406504065,0.55,0.5566502463054187,0.5576923076923077,0.5816993464052288,0.569620253164557,0.5084745762711864,0.5471698113207547,0.5333333333333333,0.5757575757575758,0.5416666666666666,0.6666666666666666,0.49056603773584906,0.625,0.4594594594594595,0.6,0.48148148148148145
00166,20211107,20220101,20220102,20220108,20220109,20220115,30,10,0.0009,150,32,0.005615181289613247,0.05709213390946388,0.44040027260780334,0.5094258189201355,0.9406991260923845,0.9429109159347553,0.9902991107518189,0.9951845906902087,0.9989429175475687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5445544554455446,0.5614035087719298,0.5660377358490566,0.5678391959798995,0.5798319327731093,0.5670731707317073,0.6046511627906976,0.5726495726495726,0.5740740740740741,0.5531914893617021,0.5588235294117647,0.5342465753424658,0.5882352941176471,0.55,0.6,0.46153846153846156,0.5714285714285714,0.41379310344827586,0.5174129353233831,0.4366812227074236,0.5449101796407185,0.42162162162162165,0.5401459854014599,0.4,0.5416666666666666,0.4,0.5523809523809524,0.42990654205607476,0.5842696629213483,0.45054945054945056,0.5492957746478874,0.45,0.5964912280701754,0.4857142857142857,0.6170212765957447,0.5172413793103449
00167,20211114,20220108,20220109,20220115,20220116,20220122,30,10,0.0009,150,32,0.004945600870996714,0.05422501638531685,0.7369098663330078,0.6832644939422607,0.9602309172546504,0.9464841319228375,0.9920063948840927,0.9936305732484076,0.9978880675818373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5637860082304527,0.48663101604278075,0.5954545454545455,0.4909090909090909,0.6142131979695431,0.5071428571428571,0.6303030303030303,0.5229357798165137,0.6546762589928058,0.5222222222222223,0.6320754716981132,0.4868421052631579,0.6705882352941176,0.5084745762711864,0.6615384615384615,0.5555555555555556,0.66,0.5862068965517241,0.5641025641025641,0.5212765957446809,0.5620437956204379,0.5370370370370371,0.5555555555555556,0.54421768707483,0.5591397849462365,0.4918032786885246,0.5789473684210527,0.46464646464646464,0.576271186440678,0.4430379746835443,0.7380952380952381,0.423728813559322,0.7407407407407407,0.3469387755102041,0.7619047619047619,0.35135135135135137
00168,20211121,20220115,20220116,20220122,20220123,20220129,30,10,0.0009,150,32,0.005629297345876694,0.05715566128492355,0.8226788640022278,0.7305711507797241,0.9671179883945842,0.9330543933054394,0.9968354430379747,0.987627365356623,1.0,0.9990842490842491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4838709677419355,0.455026455026455,0.48360655737704916,0.4484848484848485,0.4722222222222222,0.4316546762589928,0.47674418604651164,0.43103448275862066,0.515625,0.42105263157894735,0.574468085106383,0.4225352112676056,0.6097560975609756,0.42592592592592593,0.6666666666666666,0.43902439024390244,0.6,0.3793103448275862,0.47619047619047616,0.398876404494382,0.4798206278026906,0.37748344370860926,0.47959183673469385,0.40298507462686567,0.4742857142857143,0.4224137931034483,0.4527027027027027,0.4215686274509804,0.41025641025641024,0.40217391304347827,0.3939393939393939,0.43373493975903615,0.3780487804878049,0.4788732394366197,0.3382352941176471,0.4696969696969697
00169,20211128,20220122,20220123,20220129,20220130,20220205,30,10,0.0009,150,32,0.006957734934985638,0.06371739506721497,1.7916734218597412,1.0938137769699097,0.9420111042566317,0.9679947746570868,0.990188679245283,0.9952114924181963,0.9981343283582089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5192307692307693,0.46396396396396394,0.5125628140703518,0.475,0.4972375690607735,0.4772727272727273,0.5029940119760479,0.4875,0.4868421052631579,0.47794117647058826,0.49635036496350365,0.48695652173913045,0.5,0.4845360824742268,0.5050505050505051,0.4939759036144578,0.5,0.49333333333333335,0.5281385281385281,0.5226130653266332,0.5260416666666666,0.5232558139534884,0.5232558139534884,0.541095890410959,0.5390070921985816,0.5166666666666667,0.5625,0.5510204081632653,0.5591397849462365,0.5625,0.5733333333333334,0.5714285714285714,0.6274509803921569,0.6382978723404256,0.6285714285714286,0.6388888888888888
00170,20211205,20220129,20220130,20220205,20220206,20220212,30,10,0.0009,150,32,0.007556416559964418,0.06677830219268799,0.8816107511520386,0.771165132522583,0.937807881773399,0.9610894941634242,0.9887048192771084,0.9944968553459119,0.9990627928772259,0.9990319457889641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5324675324675324,0.5276381909547738,0.5388127853881278,0.5380116959064327,0.5309278350515464,0.5548387096774193,0.5235294117647059,0.6,0.527027027027027,0.5740740740740741,0.5196850393700787,0.5869565217391305,0.5288461538461539,0.5753424657534246,0.5280898876404494,0.5666666666666667,0.56,0.5652173913043478,0.4484536082474227,0.4830508474576271,0.4409937888198758,0.46634615384615385,0.4236111111111111,0.46195652173913043,0.4083333333333333,0.4064516129032258,0.40625,0.392,0.4024390243902439,0.39805825242718446,0.4090909090909091,0.4177215189873418,0.42857142857142855,0.3939393939393939,0.425,0.36363636363636365
00171,20211212,20220205,20220206,20220212,20220213,20220219,30,10,0.0009,150,32,0.00829820241779089,0.07007354497909546,0.8042307496070862,0.7007300853729248,0.9328859060402684,0.9598185353208036,0.9876989869753979,0.9922480620155039,0.9982222222222222,0.9990800367985281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4854368932038835,0.5133928571428571,0.5117647058823529,0.5226130653266332,0.4357142857142857,0.5284090909090909,0.4297520661157025,0.5314685314685315,0.42574257425742573,0.5221238938053098,0.44871794871794873,0.5,0.42857142857142855,0.41935483870967744,0.4186046511627907,0.38636363636363635,0.4411764705882353,0.35294117647058826,0.4925373134328358,0.5021834061135371,0.4759036144578313,0.504950495049505,0.4883720930232558,0.5098039215686274,0.47706422018348627,0.5094339622641509,0.4318181818181818,0.4583333333333333,0.4153846153846154,0.4444444444444444,0.4117647058823529,0.45454545454545453,0.4444444444444444,0.38461538461538464,0.5,0.2222222222222222
00172,20211219,20220212,20220213,20220219,20220220,20220226,30,10,0.0009,150,32,0.008390416391193867,0.07023216784000397,0.5196316838264465,0.5411822199821472,0.9545745361484325,0.9569131832797427,0.9953667953667954,0.9907550077041603,0.9990654205607477,0.9990601503759399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5203252032520326,0.5380434782608695,0.5424528301886793,0.5562913907284768,0.5642458100558659,0.5564516129032258,0.5337837837837838,0.5217391304347826,0.4782608695652174,0.5507246376811594,0.47058823529411764,0.5094339622641509,0.5254237288135594,0.6060606060606061,0.5555555555555556,0.65,0.5277777777777778,0.6,0.5161290322580645,0.4863636363636364,0.47706422018348627,0.48,0.5111111111111111,0.5085714285714286,0.48148148148148145,0.5163398692810458,0.4864864864864865,0.5107913669064749,0.453125,0.48717948717948717,0.47058823529411764,0.4766355140186916,0.5121951219512195,0.4574468085106383,0.4857142857142857,0.4659090909090909
00173,20211226,20220219,20220220,20220226,20220227,20220305,30,10,0.0009,150,32,0.008292768150568008,0.0704222172498703,1.5511857271194458,0.9506906270980835,0.9495440729483283,0.9484536082474226,0.9920462762111352,0.9912917271407837,0.9974048442906575,0.9991142604074402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4861111111111111,0.465,0.4603174603174603,0.4585635359116022,0.4424778761061947,0.49044585987261147,0.43,0.4925373134328358,0.4111111111111111,0.5128205128205128,0.4024390243902439,0.5227272727272727,0.3880597014925373,0.5753424657534246,0.423728813559322,0.55,0.40384615384615385,0.56,0.43462897526501765,0.4557823129251701,0.42366412213740456,0.44715447154471544,0.41702127659574467,0.5,0.4131455399061033,0.4675324675324675,0.4166666666666667,0.5172413793103449,0.4294117647058823,0.5909090909090909,0.42758620689655175,0.6285714285714286,0.4369747899159664,0.6666666666666666,0.46464646464646464,0.7777777777777778
